Protein	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722142047.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722202358.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722153152.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722213505.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722164251.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722224609.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722175352.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722235712.raw
O00159;O00159-3	O00159;O00159-2;O00159-3	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	8.94E+06	8.81E+06	8.26E+06	658439	517769		8.59E+06	8.15E+06	8.40E+06	645515	506079	487860
O00161	O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2.26E+06	2.38E+06	2.22E+06		152755	207643	2.09E+06	1.89E+06	2.26E+06	216828	203045	197793
O00165;O00165-2;O00165-5	O00165;O00165-2;O00165-3;O00165-5	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.90E+06	3.06E+06	3.03E+06	3.41E+06	3.61E+06	3.61E+06	3.80E+06	3.98E+06	3.60E+06	3.96E+06	3.62E+06	3.76E+06
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	303901	169820		288790	276414		127367		99057.5	192370		
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1				305543	196713	277568				185381	216475	140230
O00203;O00203-3	O00203;O00203-3	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	293063		417799	692063	523795	571894	108135	152141	103066	419018	351206	346268
O00217	O00217	NDUS8_HUMAN	NDUFS8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"		837333	799983	1.43E+06	1.49E+06	1.57E+06	1.04E+06	933267	1.01E+06	1.41E+06	1.31E+06	1.23E+06
O00231;O00231-2	O00231;O00231-2	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	816313	793852	777803	1.69E+06	1.67E+06	1.70E+06	950796	694329	763192	1.56E+06	1.59E+06	1.51E+06
O00232	O00232;O00232-2	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	664015	499879	654990	1.67E+06	1.55E+06	1.14E+06	583988	497175	492279	1.51E+06	1.44E+06	1.71E+06
O00233;O00233-2	O00233;O00233-2	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	440150			569297	583000	580567	306751	438251	377127	462980	462625	455868
O00264	O00264;O00264-2	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	1.17E+06	1.16E+06	1.22E+06	5.87E+06	5.85E+06	6.17E+06	3.19E+06	2.84E+06	2.79E+06	6.88E+06	7.35E+06	7.11E+06
O00267;O00267-2	O00267;O00267-2	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	266704		173665	479018	547827	504573	254160	170595		504340	317875	613575
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha				446639	465323	353465		97769.7		465980	512903	366384
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	441470	389941	498174	1.62E+06	1.66E+06	1.68E+06	433757	370919	354369	1.38E+06	1.33E+06	1.54E+06
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	3.77E+06	3.79E+06	3.82E+06	3.36E+06	2.94E+06	3.70E+06	2.43E+06	2.47E+06	2.49E+06	2.93E+06	3.42E+06	4.37E+06
O00311	O00311	CDC7_HUMAN	CDC7	Cell division cycle 7-related protein kinase	559712	453300	620910	311024	299329	248614	1.86E+06	1.84E+06	1.70E+06	1.03E+06	1.03E+06	1.03E+06
O00330;O00330-3	O00330;O00330-2;O00330-3	ODPX_HUMAN	PDHX	"Pyruvate dehydrogenase protein X component, mitochondrial"	178457	204784	178922	354818	329237	356426	410351	333521	287318	438574	422345	408844
O00399	O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	1.58E+06	1.38E+06	1.60E+06				1.07E+06	1.05E+06	877153	346132	582719	
O00410;O00410-3	O00410;O00410-2;O00410-3	IPO5_HUMAN	IPO5	Importin-5	600532	580128	671441	1.55E+06	1.46E+06	1.37E+06	891281	795104	797811	1.50E+06	1.52E+06	1.48E+06
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	250072	459011	555198	421890	369972	270027	578904	603756	433750	333291	357783	303951
O00429;O00429-2;O00429-3;O00429-4;O00429-5;O00429-6;O00429-8	O00429;O00429-2;O00429-3;O00429-4;O00429-5;O00429-6;O00429-7;O00429-8	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein				271937	363116	239535		114364		217940	148382	147474
O00442;O00442-2	O00442;O00442-2	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	123273		161271	583503	342978	318876	171643		205647	268898	339030	532960
O00443	O00443;O00443-2	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	36352.3		50133.9	312097		407607	966226	946322	1.02E+06	344775	345351	390744
O00459	O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	1.14E+06	1.08E+06	1.16E+06	336643	727029	741992	4.55E+06	3.99E+06	4.37E+06	1.54E+06	1.36E+06	1.36E+06
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	5.08E+06	5.07E+06	4.81E+06	6.48E+06	6.37E+06	6.82E+06	9.24E+06	8.96E+06	8.30E+06	5.72E+06	5.70E+06	6.35E+06
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	731731	688932	845504	1.28E+06	1.50E+06	1.50E+06	546108	492366	522034	1.61E+06	1.46E+06	1.43E+06
O00505	O00629;O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	1.09E+06	553955	734159	1.06E+06	1.04E+06	1.12E+06	4.13E+06	3.11E+06	3.55E+06	3.14E+06	2.87E+06	2.76E+06
O00507	O00507	USP9Y_HUMAN	USP9Y	Probable ubiquitin carboxyl-terminal hydrolase FAF-Y				293020	372468						462091	
O00541;O00541-2	O00541;O00541-2	PESC_HUMAN	PES1	Pescadillo homolog	413779	432513	499958	633199	680453	571443	434577	358929	337274	869269	962703	971016
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	1.10E+06	1.15E+06	1.32E+06	1.19E+06	1.29E+06	1.30E+06	1.03E+06	1.06E+06	1.41E+06	1.70E+06	1.74E+06	1.71E+06
O00571;O00571-2	O15523;O15523-2;Q9NQI0;Q9NQI0-2;Q9NQI0-3;Q9NQI0-4;O00571;O00571-2	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	3.24E+06	3.32E+06	3.13E+06	2.67E+06	2.76E+06	2.75E+06	3.00E+06	2.85E+06	2.97E+06	3.09E+06	3.08E+06	3.05E+06
O00629	O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3				333105	140023		697035	794835	612007	591460	600552	552794
O00743;O00743-2;O00743-3	O00743;O00743-2;O00743-3	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	922552	973362	910404	1.15E+06	1.18E+06	1.24E+06	1.78E+06	1.74E+06	1.62E+06	1.88E+06	1.65E+06	1.42E+06
O00746	O00746	NDKM_HUMAN	NME4	"Nucleoside diphosphate kinase, mitochondrial"	2.09E+07	2.12E+07	1.85E+07	7.99E+06	8.01E+06	7.79E+06	1.47E+07	1.41E+07	1.47E+07	4.07E+06	3.62E+06	3.59E+06
O00767	O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	1.87E+06	1.94E+06	1.82E+06	1.57E+06	1.05E+06	1.33E+06	5.07E+06	4.99E+06	5.19E+06	2.90E+06	3.22E+06	2.92E+06
O14523;O14523-2	O14523;O14523-2	C2C2L_HUMAN	C2CD2L	Phospholipid transfer protein C2CD2L	222962	162980	221883			147286	64740.6		112272	125106		47877.1
O14524;O14524-2	O14524;O14524-2	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1				345989	243818	294076				251353	213932	219044
O14545	O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	1.68E+06	1.65E+06	1.48E+06	1.29E+06	1.37E+06	1.11E+06	2.68E+06	2.58E+06	2.51E+06	2.11E+06	2.03E+06	2.36E+06
O14579	O14579;O14579-2;O14579-3	COPE_HUMAN	COPE	Coatomer subunit epsilon	675033	700284	569259	1.36E+06	1.30E+06	1.44E+06	483567	436155	533953	1.35E+06	1.43E+06	1.49E+06
O14602;P47813	P47813;O14602	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	"Eukaryotic translation initiation factor 1A, Y-chromosomal"				417768	388853	483605				434473	444989	442270
O14639;O14639-2	O14639;O14639-2;O14639-3;O14639-4;O14639-5;O14639-6	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	8.43E+06	9.14E+06	8.88E+06				5.69E+06	5.53E+06	5.58E+06	155958		
O14641;Q92997;Q92997-2	Q92997;Q92997-2;O14641	DVL2_HUMAN;DVL3_HUMAN	DVL2;DVL3	Segment polarity protein dishevelled homolog DVL-2	136040	105756	74789	102159	126720	188755	59016.7			135788	146548	164985
O14654	O14654	IRS4_HUMAN	IRS4	Insulin receptor substrate 4	1.52E+07	1.48E+07	1.49E+07	6.97E+06	6.90E+06	7.14E+06	5.66E+07	5.64E+07	5.80E+07	2.51E+07	2.53E+07	2.52E+07
O14681;O14681-3	O14681;O14681-3	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog	862621	1.51E+06	916749	1.62E+06	1.78E+06	1.78E+06	1.43E+06	1.36E+06	1.45E+06	2.04E+06	1.80E+06	2.02E+06
O14730;O14730-2	O14730;O14730-2	RIOK3_HUMAN	RIOK3	Serine/threonine-protein kinase RIO3	1.33E+06	1.30E+06	1.35E+06	600832	524030	486134	1.36E+06	1.37E+06	1.49E+06	719229	798918	854445
O14733;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	780050	818101	793026	401728	290779	456852	1.41E+06	1.38E+06	1.31E+06	511266	565488	460579
O14734	O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	518608	584650	368963	777855	873737	888481	792324	735834	796525	490162	628109	601416
O14735	O14735;O14735-3	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.17E+06	1.39E+06	1.12E+06	2.50E+06	2.33E+06	2.54E+06	1.77E+06	1.98E+06	1.93E+06	2.98E+06	2.82E+06	2.53E+06
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	319275	221611		1.14E+06	1.44E+06	795235	137062			819110	657817	1.48E+06
O14744;O14744-2	O14744;O14744-2;O14744-4;O14744-5;O14744-3	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	734049	676384	644914	3.92E+06	3.86E+06	4.06E+06	1.45E+06	1.51E+06	1.41E+06	4.90E+06	4.52E+06	4.39E+06
O14773;O14773-2	O14773;O14773-2	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	427239	456143	484817	897262	873700	754963	640399	661211	683427	1.03E+06	968826	1.08E+06
O14776;O14776-2	O14776;O14776-2	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	553800	417026	422470	790675	930391	836022	422399	687519	700485	931930	982115	1.18E+06
O14818	O14818;O14818-2	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	964533	1.02E+06	922744	1.82E+06	1.93E+06	2.09E+06	827747	1.10E+06	1.02E+06	1.51E+06	1.70E+06	1.66E+06
O14828	O14828;O14828-2	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	601459	607326	863213	960670	1.03E+06	1.06E+06	758872	650026	743010	1.27E+06	1.27E+06	1.10E+06
O14874;O14874-2;O14874-3	O14874;O14874-2;O14874-3	BCKD_HUMAN	BCKDK	"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial"	309604		177824	791792	898921	772879	100574	207004	151178	277467	251535	208002
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	1.29E+06	1.08E+06	890687	980084	483363	641817	2.93E+06	1.43E+06	3.38E+06	984657	1.23E+06	1.20E+06
O14893;O14893-2;O14893-3	O14893;O14893-2;O14893-3	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	232956	257216	259912	179226	229000	196890	385980	525340	540456	292647	344391	270245
O14908;O14908-2	O14908;O14908-2;Q8TF64	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	560038	562876	535845	93439.4			444132	537426	529516	123424	169133	
O14925;Q5SRD1	O14925;Q5SRD1	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23	3.11E+06	3.05E+06	3.11E+06	2.47E+06	2.43E+06	2.28E+06	5.55E+06	5.28E+06	6.61E+06	3.13E+06	2.89E+06	2.66E+06
O14929	O14929;O14929-2	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	564907	685390	253963	1.16E+06	1.53E+06	1.38E+06	766297	774659	762107	1.98E+06	1.82E+06	1.82E+06
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	1.51E+06	1.17E+06	1.42E+06	820205	904557	1.07E+06	1.95E+06	2.01E+06	2.36E+06	881935	1.02E+06	1.04E+06
O14950;P19105	P19105;O14950;P24844	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	1.83E+07	1.61E+07	1.77E+07	1.24E+06	1.40E+06	1.55E+06	2.73E+07	2.71E+07	2.70E+07	1.70E+06	1.69E+06	1.54E+06
O14974	O14974;O14974-2;O14974-3;O14974-4;O14974-5	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	3.18E+07	3.15E+07	3.06E+07	418147	329214	310876	1.91E+07	1.98E+07	1.96E+07	668842	561495	475129
O14979	O14979;O14979-2;O14979-3	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.88E+06	2.20E+06	1.81E+06	2.26E+06	2.04E+06	2.37E+06	1.27E+06	1.59E+06	1.57E+06	2.69E+06	2.80E+06	2.66E+06
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1	2.24E+06	2.17E+06	2.12E+06	3.16E+06	3.20E+06	3.45E+06	8.91E+06	8.93E+06	9.30E+06	5.68E+06	5.80E+06	5.96E+06
O14981	O14981;O14981-2	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	199975	265661	405932	504113	416163	473078	1.09E+06	1.10E+06	885788	930970	864464	977200
O15020	O15020;O15020-2	SPTN2_HUMAN	SPTBN2	"Spectrin beta chain, non-erythrocytic 2"	1.31E+07	1.25E+07	1.28E+07	3.76E+06	1.15E+06	2.31E+06	9.74E+06	9.48E+06	9.61E+06	510576	544219	630707
O15027;O15027-2;O15027-3;O15027-4;O15027-5	O15027;O15027-2;O15027-3;O15027-4;O15027-5	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	733699	689003	591709	779429	735926	631465	1.39E+06	1.31E+06	1.29E+06	1.15E+06	1.03E+06	1.05E+06
O15042;O15042-2	O15042;O15042-2;O15042-3	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	176152	219567	163375	251282	202919	114866	160683			270668	233139	232518
O15047	O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A		125369		102873	146660	160509	260590	265274	198291	159651	172691	134414
O15049	O15049	N4BP3_HUMAN	N4BP3	NEDD4-binding protein 3	233428	191601	232704				250126	210907	224684			
O15067	O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	164621	248177	156658	1.82E+06	2.01E+06	1.80E+06	691598	133890	283678	1.90E+06	1.89E+06	1.96E+06
